Date,Open,High,Low,Close,Adj Close,Volume
2023-10-22,3.905255,3.967974,3.820571,3.964716,3.964716,102800544
2023-10-23,3.981359,4.348273,3.931133,4.348273,4.348273,279500647
2023-10-24,4.349509,4.400952,4.134200,4.186614,4.186614,287578869
2023-10-25,4.186937,4.347059,4.159365,4.285054,4.285054,191355809
2023-10-26,4.285379,4.409787,4.170871,4.236406,4.236406,196562760
2023-10-27,4.236472,4.236472,4.065490,4.139360,4.139360,157567536
2023-10-28,4.139181,4.221338,4.135637,4.180108,4.180108,98811863
2023-10-29,4.180194,4.350804,4.150013,4.312546,4.312546,114199710
2023-10-30,4.312788,4.528045,4.244029,4.527799,4.527799,189424182
2023-10-31,4.527865,4.595821,4.322356,4.451180,4.451180,197568842
2023-11-01,4.451050,4.795651,4.334122,4.730910,4.730910,240014626
2023-11-02,4.730876,4.795107,4.557127,4.635324,4.635324,215676198
2023-11-03,4.635338,4.639012,4.481237,4.615494,4.615494,157624901
2023-11-04,4.615282,4.768822,4.595697,4.691026,4.691026,129760785
2023-11-05,4.690704,4.899320,4.670992,4.773220,4.773220,205523537
2023-11-06,4.772786,4.985403,4.701943,4.968373,4.968373,188597116
2023-11-07,4.968561,5.004223,4.737155,4.931488,4.931488,208520335
2023-11-08,4.931319,5.081772,4.872838,5.053585,5.053585,213839664
2023-11-09,5.052426,5.253760,4.796288,5.087355,5.087355,371195493
2023-11-10,5.087687,5.309339,5.011777,5.300801,5.300801,285459747
2023-11-11,5.300643,5.657641,5.120489,5.553165,5.553165,410791406
2023-11-12,5.553712,5.846567,5.392653,5.707890,5.707890,396517036
2023-11-13,5.708606,5.876170,5.364660,5.368368,5.368368,330915168
2023-11-14,5.367783,5.515988,5.065764,5.202727,5.202727,287416833
2023-11-15,5.202481,5.631501,5.200840,5.566057,5.566057,273974492
2023-11-16,5.566462,5.784719,5.314825,5.358422,5.358422,348858975
2023-11-17,5.358032,5.479098,5.087365,5.242203,5.242203,255997486
2023-11-18,5.242760,5.292086,5.024771,5.291220,5.291220,189841324
2023-11-19,5.291365,5.479985,5.193369,5.444248,5.444248,187907209
2023-11-20,5.444134,5.559099,5.292699,5.304598,5.304598,217195343
2023-11-21,5.304758,5.326883,4.855858,4.889389,4.889389,285788399
2023-11-22,4.888024,5.278530,4.870287,5.172865,5.172865,208993295
2023-11-23,5.172650,5.216655,5.096880,5.133638,5.133638,122906505
2023-11-24,5.133674,5.288729,5.127063,5.243342,5.243342,193231709
2023-11-25,5.242917,5.381474,5.230508,5.330086,5.330086,124787041
2023-11-26,5.330139,5.407458,5.205002,5.325129,5.325129,170218507
2023-11-27,5.324221,5.366930,5.049296,5.161478,5.161478,203213671
2023-11-28,5.161148,5.308377,5.116793,5.270678,5.270678,187192411
2023-11-29,5.270658,5.370062,5.160088,5.168089,5.168089,184196011
2023-11-30,5.168111,5.567933,5.128606,5.465794,5.465794,282346044
2023-12-01,5.466083,5.516275,5.379859,5.475040,5.475040,153997357
2023-12-02,5.474731,5.597386,5.458980,5.573881,5.573881,128776781
2023-12-03,5.573408,5.608565,5.443554,5.546575,5.546575,152613977
2023-12-04,5.546394,5.716184,5.490693,5.626327,5.626327,276026759
2023-12-05,5.626980,5.932799,5.521040,5.911572,5.911572,349322266
2023-12-06,5.910769,6.194783,5.815013,6.043326,6.043326,391203869
2023-12-07,6.044444,6.285831,5.931617,6.246666,6.246666,302450588
2023-12-08,6.246943,6.901350,6.182972,6.839679,6.839679,413408879
2023-12-09,6.839935,7.670611,6.839935,7.117620,7.117620,712895503
2023-12-10,7.117362,7.341575,6.987498,7.341575,7.341575,319835932
2023-12-11,7.342336,7.345096,6.418455,6.706697,6.706697,538631045
2023-12-12,6.706394,7.303327,6.706394,7.123779,7.123779,532269712
2023-12-13,7.123782,7.625853,6.665577,7.610178,7.610178,463975500
2023-12-14,7.611420,7.729955,7.142625,7.521095,7.521095,494202129
2023-12-15,7.519760,7.554465,6.956743,6.956743,6.956743,388837339
2023-12-16,6.956724,7.337009,6.903771,7.085907,7.085907,279250108
2023-12-17,7.085665,7.152673,6.771906,6.792213,6.792213,259799176
2023-12-18,6.790313,6.879576,6.410623,6.875728,6.875728,307104897
2023-12-19,6.876213,7.024956,6.633544,6.715219,6.715219,228867147
2023-12-20,6.714594,7.122668,6.641644,6.942695,6.942695,303998673
2023-12-21,6.943039,8.363024,6.927731,8.361507,8.361507,964588443
2023-12-22,8.370101,8.530818,7.871650,7.969132,7.969132,640763569
2023-12-23,7.968949,8.438289,7.621263,8.342115,8.342115,460523777
2023-12-24,8.342073,9.156386,8.337476,8.647969,8.647969,1079897568
2023-12-25,8.647510,9.378779,8.538397,9.228660,9.228660,883892634
2023-12-26,9.222355,9.578561,8.519404,8.819257,8.819257,707582624
